id	text	Label
7.728316134241075e+17	Jogo será em Manaus, muito mais longe que a Colômbia kkkkkkkk paz   	ironico
8.658627493934858e+17	Diferença de renda entre brancos enegros cresce com desemprego  economia	nao-ironico
8.699587639602995e+17	ECONOMIA CRISE RECESSÃO FORATEMER DIRETASJÁ: Confiança do consumidor desaba em maio, aponta CNI	nao-ironico
5.378168719792128e+17	Instagram, aquele programa de tirar foto da comida, sqn!  tirando onda zuacao … 	ironico
7.330306854647562e+17	• MARQUEM OS AMIGOS •bomdia boatarde boanoite   felicidade amor alegria sorr…	ironico
8.724606840423055e+17	Faturamento do varejo paulista deve crescer 3% neste mês:  varejo economia 	nao-ironico
7.245241867781202e+17	É o dia da liberdade, mas eu estou aqui fechada numa sala a estudar para um teste que vou ter esta semana 	ironico
7.704263552930324e+17	Separação de William e Fátima? Que nada... isso é golpe da Globo pra abafar o impeachment. 	ironico
7.110213935808266e+17	e não é que existe leitor que quer ver heróis negros?   ://twitter.com/omelete/status/711020650664697857 …	ironico
8.646943791806874e+17	amigah espero q isso nau seja  porq tudo faz mais sentido mesmoos astros vão dominar o mundo!!!!!!	ironico
7.561755972780769e+17	Alô RibeiraoPreto, que saudades das suas ruas esburacadas e sujas, das pessoas mal educadas. 	ironico
8.41693677881811e+17	Deixa eu ir lá estudar a maravilhosa Constituição brasileira...	ironico
6.561512502711214e+17	Bua dia para entrenar  	ironico
7.51498108031361e+17	danilo pires eh um baita reforço. Já se destacou na B uma vez, fazer contrato longo p próximo ano se destacar na B. 	ironico
7.059874793635676e+17	Delicia Delicia trabalhar fortemente na divulgação do show do   e não receber nem um obrigado de retorno affff 	ironico
8.720955933002097e+17	CBC propone construir 12.000 viviendas para clase media  Economía	nao-ironico
6.116069541553152e+17	Sobrevivemos à filme Avengers 2 eu já respiro sem a ajuda de aparelhos.   naoMorri 	ironico
6.595495499718246e+17	 amodoro 	ironico
8.727777960739471e+17	Brasília precisa parar de atrapalhar o Brasil  economia micheltemer politica	nao-ironico
8.675583375580856e+17	Economía | Dicom arrancará esta semana 	nao-ironico
7.787343993322906e+17	Mas só o PT é corrupto...  	ironico
5.95243830397526e+17	Hoje já tô vendo que o dia será maravilhoso. Ansiedade pra dar e vender. 	ironico
6.401856081833779e+17	So notícia boa! Uhuuu 	ironico
7.200541059940925e+17	 Será que ele se filiou ao PSDB!?  blindagemtucana	ironico
5.2680848707107635e+17	Ai vc abre o pote de sorvete e era feijão :'( irônia hahaha EMABiggestFans1D	ironico
6.137869519053578e+17	 enhorabona campions! ah no.. HalaMadrid 	ironico
8.56707836105171e+17	Morreu mesmo ? A tripulação da Challenger ta aí vivona   	ironico
6.27281088151466e+17	O teu amor mata-me, a sério 	ironico
8.69422688011518e+17	"No século 21, um CEO de Execução que sucede um CEO Visionário cada vez mais pode ser a escolha errada""  economia"""	nao-ironico
6.108503826260378e+17	- haha ontem a noite sonhei com você, hoje tu fala comigo depois de tempos.  DO DESTINO	ironico
5.395063813140767e+17	  D´BOA SIGO SIM DESCOBRIR  SEGUINDO	ironico
7.097707013691228e+17	O Brasil é uma piada tão boa que parece o forrest contando.  brasil 	ironico
6.786642491289518e+17	É bom saber que toda as pessoas que têm oportunidades as sabem usar. 	ironico
8.03764693273899e+17	franceses petralhas 	ironico
8.703094894797332e+17	ECONOMIA: Câmara aprova projeto que convalida incentivos fiscais concedidos a empresas	nao-ironico
6.259243768321188e+17	É sempre bom ser ignorado -.- modoon 	ironico
5.6436605013406925e+17	Bonita vida de estudiante  	ironico
5.591847454863524e+17	? ter livre arbitrio mas se não for na hora e na vontade de Deus não acontece?	ironico
7.859823976701665e+17	Como tudo nesse país , talvez acabe em pizza ! Recursos interminaveis ou asilo às custas de dupla cidadania !!  	ironico
5.802116730107249e+17	Não tenho senso de humor para asneiras! Agora vou sonhar com as duas coisas que nós mulheres mais amamos!  naoestoudisposta	ironico
6.698244212768768e+17	Isso Brasil! Parabéns! País sério, fazendo direitinho! Você me dá um orgulho absurdo!  	ironico
8.524698624799212e+17	Ué? A  não era uma santa!?!?!? 	ironico
8.702674131237806e+17	Economia do país cresceu 1% no 1º trimestre, 1ª alta desde 2014. Entenda o novo resultado do PIB, em um minuto 	nao-ironico
5.279708712063672e+17	Achei pouco Câmbio pressiona inflação e mercado já prevê Selic a 12% - Economia - Mercados - Estadão Mobile 	ironico
6.213056911527158e+17	 putz não percebi  kkkkkk muito boom	ironico
6.114929439926518e+17	Ainda se lembram de Maio 2011? Nessa altura o SNS era perfeito e não havia cá listas de espera. Bons tempos.  	ironico
7.251820124668436e+17	Isso que eu chamo de ..... 	ironico
8.13951053796438e+17	"Mulher bonita é igual melancia: impossível comer sozinho."" """	ironico
8.72657893279105e+17	Só sendo .lol	ironico
7.31830667521196e+17	Exclamação/interrogação/reticências, vá lá... mas 1 sinal que pontuasse a  num enunciado tiraria a graça desse recurso...trovadoor	ironico
7.722464718150738e+17	vem cáQUE FOI OI????tem que avisar, vai que né	ironico
8.696403167432786e+17	EstorilConferences. Joseph Stiglitz, nobel da economia diz que os números do défice impostos por Bruxelas não têm base económica. fb	nao-ironico
5.2765010667454054e+17	as pessoas estão cada vez mais amáveis com os demais. .	ironico
6.17730391542231e+17	Mais um dia em que vamos pro Morumbi passar frio e invejar certas arenas que tem starbucks e food truck de fondue  tozoando naodeRT	ironico
6.993732846479237e+17	 imagino o perigosa que é uma criança... rojão e gas pimenta são elementos fofos comparados com eles...	ironico
5.254002806499656e+17	Photo: Horário de pico (e qual não é?) e o Terminal Alvorada no breu. Alvorada no breu. alvorada ... 	ironico
8.667959971036242e+17	Economia.Relator da reforma trabalhista diz que situação de Temer é insustentável 	nao-ironico
5.748734203217019e+17	Que pesados Ubisoft sacando Assassin's Creed, no como Nintendo con Pokemon o Mario. 	ironico
8.70510230458712e+17	Esse professor realmente entende de economia! Concordo com cada palavra!  Economia Privatização Petrobrás	nao-ironico
7.768527525091041e+17	Fernandinho na Seleção? Kkkkkkkkkkkkkkkkkkkk VoltaDunga  	ironico
8.724891991648502e+17	¿Os acordaís de esto? Vídeo análisis técnico del Ibe  elnuevoparquet, bolsa,economía, forex, remember, oldpost	nao-ironico
5.489037626731602e+17	Tão acolhedora, né? estouaqui contecomigo depressao  	ironico
7.059093286294036e+17	 EI! Eu te mando aplaudaço! ♪♩ 	ironico
6.568296606097777e+17	Disse mais cedo que tava sumido e com sdds de vcs e ouvi grilos. É tão bom saber que todo mundo sente falta de mim tb!  tôdemanha	ironico
8.474665302039511e+17	mas não sofrer gol e ainda ganhar o jogo foi somente 1 vez, na volta de Wesley aos gramados. Acertou o time! 	ironico
5.290473976833106e+17	 Ou seja, bem melhor mata-mata. Favorece os times mais organizados e sem problemas de gestão. 	ironico
8.732421010179645e+17	El varapalo del Constitucional al Gobierno desautoriza futuras amnistías fiscales españa economía | E M G 	nao-ironico
5.771252163143311e+17	O playboyzinho na manifestação contra o gov e contra corrupção mas usa carteirinha falsa pra pagar meia entradFamiliaMarinhonoHSBC	ironico
8.418335646646764e+17	"Se tu és gordo, culpa a tua mãe. E o pai?""Segundo o Ministro, pais são inúteis, não servem nem p/ descascar frutas. ¯\_(ツ)_/¯  """	ironico
7.783709697527685e+17	sério  ? Jamais imaginaríamos q a decisão do meretissimo teria este objetivo.   O golpe continua. 	ironico
